Protein,p_ID
LTBR,p001054
MC1R,p001055
MAP3K3,p001056
MAP3K11,p001057
NUDT1,p001058
NRAS,p001059
NTSR1,p001060
PBX2,p001061
PDE2A,p001062
PFDN5,p001063
PFKL,p001064
PLCG1,p001065
POLA2,p001066
PSMB4,p001067
PSMC3,p001068
PSMD4,p001069
PSMD7,p001070
RDBP,p001071
SLC10A1,p001072
SMARCD1,p001073
SP2,p001074
SPG7,p001075
SUPT4H1,p001076
SURF1,p001077
TCEA2,p001078
NFE2L1,p001079
TFF1,p001080
TM7SF2,p001081
TPT1,p001082
VGF,p001083
ZAN,p001084
ZFP36,p001085
MZF1,p001086
PAX8,p001087
DOC2A,p001088
PPFIA1,p001089
ITGA10,p001090
PPFIA3,p001091
NOP14,p001092
STC2,p001093
SSNA1,p001094
EIF4EBP3,p001095
EDF1,p001096
GPAA1,p001097
TNFRSF6B,p001098
NAPA,p001099
GALR2,p001100
AP1G2,p001101
RPS6KB2,p001102
CLK2,p001103
BDH1,p001104
AP2S1,p001105
Fas,p001106
NDUFB7,p001107
DRG1,p001108
STK19,p001109
FIBP,p001110
CYTH2,p001111
RECQL4,p001112
RIN1,p001113
CALR,p001114
CTSH,p001115
ENSA,p001116
EPHB4,p001117
BPTF,p001118
FARSA,p001119
GOLGA2,p001120
HNRNPAB,p001121
KCNQ2,p001122
MYBPC2,p001123
NDUFA3,p001124
OVOL1,p001125
SULT2B1,p001126
C21orf33,p001127
USP11,p001128
ARHGEF1,p001129
GPR37L1,p001130
PEX16,p001131
KCNK6,p001132
IL27RA,p001133
NAPSA,p001134
C16orf7,p001135
ACTN4,p001136
MRPL49,p001137
C21orf2,p001138
DMWD,p001139
KCNC3,p001140
MARS,p001141
RAD23A,p001142
SLC27A4,p001143
DOPEY2,p001144
ALDOC,p001145
GNB2,p001146
GNL1,p001147
PDLIM7,p001148
MAPK8IP1,p001149
NAALADL1,p001150
MED16,p001151
DOM3Z,p001152
HSF1,p001153
LAD1,p001154
LAMA5,p001155
PTPRCAP,p001156
SCAMP3,p001157
KCNK7,p001158
ARPC1B,p001159
ACTR1B,p001160
SLC35B1,p001161
NAB2,p001162
VPS72,p001163
ALKBH1,p001164
PCNT,p001165
MRC2,p001166
APBB3,p001167
AGFG2,p001168
PIAS3,p001169
NUCB1,p001170
PSME1,p001171
DPF2,p001172
RRAS,p001173
SSSCA1,p001174
AGPAT1,p001175
SPTLC1,p001176
SPAG5,p001177
POLR3C,p001178
PTPRE,p001179
ZNF217,p001180
STARD10,p001181
SIPA1,p001182
CDC42EP2,p001183
MORF4L1,p001184
KDELR1,p001185
