Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
NONHSAG029976,-,NONHSAG029976,-,-,l025020
NONHSAG029977,-,NONHSAG029977,-,-,l025021
NONHSAG029972,-,NONHSAG029972,-,-,l025022
NONHSAG004626,-,NONHSAG004626,-,-,l025023
NONHSAG038075,-,NONHSAG038075,-,-,l025024
NONHSAG022096,-,NONHSAG022096,-,-,l025025
NONHSAG024807,-,NONHSAG024807,-,-,l025026
NONHSAG054875,-,NONHSAG054875,-,-,l025027
NONHSAG010622,-,NONHSAG010622,-,-,l025028
NONHSAG010623,-,NONHSAG010623,-,-,l025029
NONHSAG010627,-,NONHSAG010627,-,-,l025030
NONHSAG017162,-,NONHSAG017162,-,-,l025031
NONHSAG025047,-,NONHSAG025047,-,-,l025032
NONHSAG011579,-,NONHSAG011579,-,-,l025033
NONHSAG011571,-,NONHSAG011571,-,-,l025034
RPI002_005108,-,NONHSAG024394,-,-,l025035
RPI002_005109,-,NONHSAG022776,-,-,l025036
NONHSAG034766,-,NONHSAG034766,-,-,l025037
NONHSAG019019,-,NONHSAG019019,-,-,l025038
NONHSAG033932,-,NONHSAG033932,-,-,l025039
RPI002_005113,-,NONHSAG039061,-,-,l025040
NONHSAG001080,-,NONHSAG001080,-,-,l025041
NONHSAG039686,-,NONHSAG039686,-,-,l025042
NONHSAG039680,-,NONHSAG039680,-,-,l025043
NONHSAG039682,-,NONHSAG039682,-,-,l025044
NONHSAG037308,-,NONHSAG037308,-,-,l025045
NONHSAG030655,-,NONHSAG030655,-,-,l025046
NONHSAG030654,-,NONHSAG030654,-,-,l025047
NONHSAG030656,-,NONHSAG030656,-,-,l025048
NONHSAG030659,-,NONHSAG030659,-,-,l025049
RPI002_005124,-,NONHSAG040083,-,-,l025050
NONHSAG044503,-,NONHSAG044503,-,-,l025051
NONHSAG040086,-,NONHSAG040086,-,-,l025052
NONHSAG044505,-,NONHSAG044505,-,-,l025053
NONHSAG032958,-,NONHSAG032958,-,-,l025054
RPI002_005129,-,NONHSAG042474,-,-,l025055
NONHSAG009420,-,NONHSAG009420,-,-,l025056
NONHSAG003643,-,NONHSAG003643,-,-,l025057
RPI002_005133,-,NONHSAG003644,-,-,l025058
NONHSAG007731,-,NONHSAG007731,-,-,l025059
NONHSAG043578,-,NONHSAG043578,-,-,l025060
NONHSAG030321,-,NONHSAG030321,-,-,l025061
RPI002_005137,-,NONHSAG012967,-,-,l025062
NONHSAG040205,-,NONHSAG040205,-,-,l025063
RPI002_005139,-,NONHSAG052192,-,-,l025064
NONHSAG052193,-,NONHSAG052193,-,-,l025065
NONHSAG052190,-,NONHSAG052190,-,-,l025066
NONHSAG052191,-,NONHSAG052191,-,-,l025067
NONHSAG042629,-,NONHSAG042629,-,-,l025068
NONHSAG042625,-,NONHSAG042625,-,-,l025069
NONHSAG042627,-,NONHSAG042627,-,-,l025070
NONHSAG012968,-,NONHSAG012968,-,-,l025071
NONHSAG042623,-,NONHSAG042623,-,-,l025072
NONHSAG006461,-,NONHSAG006461,-,-,l025073
NONHSAG006465,-,NONHSAG006465,-,-,l025074
NONHSAG027626,-,NONHSAG027626,-,-,l025075
RPI002_005151,-,NONHSAG027621,-,-,l025076
NONHSAG050958,-,NONHSAG050958,-,-,l025077
NONHSAG004918,-,NONHSAG004918,-,-,l025078
NONHSAG053317,-,NONHSAG053317,-,-,l025079
NONHSAG017361,-,NONHSAG017361,-,-,l025080
NONHSAG000921,-,NONHSAG000921,-,-,l025081
NONHSAG041546,-,NONHSAG041546,-,-,l025082
NONHSAG054096,-,NONHSAG054096,-,-,l025083
NONHSAG054092,-,NONHSAG054092,-,-,l025084
NONHSAG017989,-,NONHSAG017989,-,-,l025085
NONHSAG017985,-,NONHSAG017985,-,-,l025086
RPI002_005162,-,NONHSAG017981,-,-,l025087
NONHSAG004002,-,NONHSAG004002,-,-,l025088
RPI002_005164,-,NONHSAG010351,-,-,l025089
NONHSAG011004,-,NONHSAG011004,-,-,l025090
NONHSAG011001,-,NONHSAG011001,-,-,l025091
NONHSAG011003,-,NONHSAG011003,-,-,l025092
NONHSAG011009,-,NONHSAG011009,-,-,l025093
RPI002_005169,-,NONHSAG051311,-,-,l025094
NONHSAG014183,-,NONHSAG014183,-,-,l025095
NONHSAG038538,-,NONHSAG038538,-,-,l025096
NONHSAG014188,-,NONHSAG014188,-,-,l025097
NONHSAG035160,-,NONHSAG035160,-,-,l025098
NONHSAG024625,-,NONHSAG024625,-,-,l025099
RPI002_005175,-,NONHSAG024626,-,-,l025100
NONHSAG010979,-,NONHSAG010979,-,-,l025101
NONHSAG010977,-,NONHSAG010977,-,-,l025102
NONHSAG028707,-,NONHSAG028707,-,-,l025103
NONHSAG020286,-,NONHSAG020286,-,-,l025104
RPI002_005180,-,NONHSAG005830,-,-,l025105
NONHSAG012729,-,NONHSAG012729,-,-,l025106
NONHSAG012724,-,NONHSAG012724,-,-,l025107
NONHSAG003362,-,NONHSAG003362,-,-,l025108
NONHSAG018545,-,NONHSAG018545,-,-,l025109
NONHSAG018540,-,NONHSAG018540,-,-,l025110
RPI002_005186,-,NONHSAG013093,-,-,l025111
NONHSAG022113,-,NONHSAG022113,-,-,l025112
NONHSAG013546,-,NONHSAG013546,-,-,l025113
NONHSAG013547,-,NONHSAG013547,-,-,l025114
NONHSAG051677,-,NONHSAG051677,-,-,l025115
NONHSAG019633,-,NONHSAG019633,-,-,l025116
RPI002_005192,-,NONHSAG044744,-,-,l025117
RPI002_005193,-,NONHSAG017643,-,-,l025118
NONHSAG010014,-,NONHSAG010014,-,-,l025119
NONHSAG010011,-,NONHSAG010011,-,-,l025120
RPI002_005196,-,NONHSAG010013,-,-,l025121
RPI002_005197,-,NONHSAG010012,-,-,l025122
NONHSAG049046,-,NONHSAG049046,-,-,l025123
RPI002_005199,-,NONHSAG034353,-,-,l025124
NONHSAG032989,-,NONHSAG032989,-,-,l025125
NONHSAG032987,-,NONHSAG032987,-,-,l025126
RPI002_005202,-,NONHSAG032982,-,-,l025127
RPI002_005203,-,NONHSAG035409,-,-,l025128
RPI002_005204,-,NONHSAG035408,-,-,l025129
NONHSAG035402,-,NONHSAG035402,-,-,l025130
NONHSAG035405,-,NONHSAG035405,-,-,l025131
NONHSAG025271,-,NONHSAG025271,-,-,l025132
NONHSAG039180,-,NONHSAG039180,-,-,l025133
NONHSAG039185,-,NONHSAG039185,-,-,l025134
NONHSAG039188,-,NONHSAG039188,-,-,l025135
NONHSAG051533,-,NONHSAG051533,-,-,l025136
