NoncodeGeneID,tarName
NONMMUG001671.2,Fus
NONMMUG001674.2,Tdp43
NONMMUG001674.2,Fus
NONMMUG001676.2,Upf1
NONMMUG001676.2,Tardbp
NONMMUG001676.2,Tdp43
NONMMUG001679.2,Upf1
NONMMUG001679.2,Tdp43
NONMMUG049033.1,Tdp43
NONMMUG001680.2,JARID2
NONMMUG001680.2,Fus
NONMMUG001680.2,Tdp43
NONMMUG001681.2,Fus
NONMMUG001681.2,Tdp43
NONMMUG001681.2,Celf1
NONMMUG001682.2,Fus
NONMMUG001682.2,Tdp43
NONMMUG001683.2,Tardbp
NONMMUG001683.2,Fus
NONMMUG001683.2,Celf1
NONMMUG001683.2,Tdp43
NONMMUG001684.2,Fus
NONMMUG001684.2,Tdp43
NONMMUG001684.2,JARID2
NONMMUG001684.2,Upf1
NONMMUG001684.2,Tardbp
NONMMUG001684.2,Nova1
NONMMUG001685.2,Fus
NONMMUG001685.2,Tdp43
NONMMUG001686.2,Fus
NONMMUG001686.2,Tdp43
NONMMUG001687.2,Fus
NONMMUG001687.2,Tdp43
NONMMUG001689.2,Fus
NONMMUG001689.2,Tdp43
NONMMUG001692.2,Upf1
NONMMUG000118.2,Upf1
NONMMUG000118.2,Tdp43
NONMMUG000118.2,Celf1
NONMMUG000118.2,Fus
NONMMUG001697.2,Fus
NONMMUG001697.2,Tdp43
NONMMUG047317.1,Tdp43
NONMMUG047318.1,Fus
NONMMUG001698.2,Fus
NONMMUG049034.1,Fus
NONMMUG049034.1,Tdp43
NONMMUG049035.1,Tdp43
NONMMUG001699.2,Tdp43
NONMMUG001699.2,Fus
NONMMUG049036.1,Tdp43
NONMMUG001702.2,Fus
NONMMUG001702.2,Tdp43
NONMMUG001703.2,Fus
NONMMUG001704.2,Fus
NONMMUG049037.1,FMRP
NONMMUG049037.1,Tdp43
NONMMUG001706.2,RFOX2
NONMMUG001706.2,TYY1
NONMMUG001706.2,Pou5f1
NONMMUG047319.1,RFOX2
NONMMUG047319.1,TYY1
NONMMUG047319.1,Pou5f1
NONMMUG001708.2,Upf1
NONMMUG001708.2,Tdp43
NONMMUG001708.2,RFOX2
NONMMUG001708.2,Fus
NONMMUG001708.2,DAZL
NONMMUG001708.2,TYY1
NONMMUG001708.2,Pou5f1
NONMMUG047320.1,RFOX2
NONMMUG001709.2,RFOX2
NONMMUG001711.2,Fus
NONMMUG001711.2,Tdp43
NONMMUG001711.2,RFOX2
NONMMUG001711.2,Upf1
NONMMUG001711.2,Pou5f1
NONMMUG001711.2,Ptbp2
NONMMUG001711.2,DAZL
NONMMUG001711.2,SUZ12
NONMMUG001711.2,AGO4
NONMMUG001711.2,AGO1
NONMMUG001711.2,AGO2
NONMMUG001711.2,SFPQ
NONMMUG001711.2,VIGLN
NONMMUG001711.2,TYY1
NONMMUG001711.2,TTP
NONMMUG047321.1,Fus
NONMMUG047321.1,Tdp43
NONMMUG047321.1,RFOX2
NONMMUG001712.2,Fus
NONMMUG001712.2,Tdp43
NONMMUG001713.2,DAZL
NONMMUG001713.2,Pou5f1
NONMMUG001714.2,Tdp43
NONMMUG001714.2,Fus
NONMMUG001714.2,SFPQ
NONMMUG001714.2,Ptbp2
NONMMUG001715.2,Tdp43
NONMMUG001716.2,Celf1
NONMMUG001716.2,Fus
NONMMUG001716.2,FMRP
NONMMUG001716.2,Tdp43
NONMMUG001717.2,FMRP
NONMMUG001717.2,Fus
NONMMUG001717.2,Tdp43
NONMMUG001718.2,Fus
NONMMUG001718.2,Tdp43
NONMMUG001718.2,FMRP
NONMMUG001721.2,Tdp43
NONMMUG001721.2,FMRP
NONMMUG001724.2,Pou5f1
NONMMUG001724.2,TYY1
NONMMUG001724.2,PABP1
NONMMUG001728.2,Fus
NONMMUG047329.1,Tdp43
NONMMUG001731.2,Tdp43
NONMMUG001731.2,Fus
NONMMUG001731.2,Celf1
NONMMUG001731.2,PABPC1
NONMMUG001731.2,FMRP
NONMMUG001732.2,Tardbp
NONMMUG001732.2,Fus
NONMMUG001732.2,Tdp43
NONMMUG001733.2,Mbnl1
NONMMUG001733.2,Fus
NONMMUG001733.2,Tdp43
NONMMUG001734.2,Upf1
NONMMUG001734.2,Fus
NONMMUG001734.2,Tdp43
NONMMUG000121.2,Fus
NONMMUG000122.2,Upf1
NONMMUG000122.2,Fus
NONMMUG000122.2,Tdp43
NONMMUG001741.2,Fus
NONMMUG001741.2,FMRP
NONMMUG001743.2,Upf1
NONMMUG001743.2,Fus
NONMMUG001743.2,Tdp43
NONMMUG049048.1,Fus
NONMMUG001744.2,JARID2
NONMMUG001744.2,Upf1
NONMMUG001744.2,Fus
NONMMUG001744.2,FMRP
NONMMUG001744.2,Celf1
NONMMUG001744.2,Tdp43
NONMMUG001744.2,PABPC1
NONMMUG001745.2,Upf1
NONMMUG001745.2,Mbnl1
NONMMUG001745.2,Fus
NONMMUG001745.2,Tdp43
NONMMUG001746.2,Upf1
NONMMUG001746.2,Fus
NONMMUG001746.2,Tdp43
NONMMUG001747.2,Tdp43
NONMMUG001747.2,Fus
NONMMUG001749.2,Fus
NONMMUG001749.2,FMRP
NONMMUG001749.2,Tdp43
NONMMUG001749.2,Celf1
NONMMUG001749.2,TTP
NONMMUG001749.2,RFOX2
NONMMUG001749.2,PSPC1
NONMMUG001749.2,Upf1
NONMMUG001749.2,AGO4
NONMMUG001749.2,AGO1
NONMMUG001749.2,AGO2
NONMMUG001749.2,Pou5f1
NONMMUG001749.2,QKI
NONMMUG001749.2,FMR1
NONMMUG001749.2,TYY1
NONMMUG001754.2,Upf1
NONMMUG001754.2,Fus
NONMMUG001754.2,Tdp43
NONMMUG001753.2,Upf1
NONMMUG001753.2,Fus
NONMMUG001753.2,Tdp43
NONMMUG001755.2,Tdp43
NONMMUG001756.2,Upf1
NONMMUG001757.2,Upf1
NONMMUG001757.2,Tdp43
NONMMUG001758.3,Upf1
NONMMUG000123.2,Tdp43
NONMMUG000123.2,Fus
NONMMUG001760.2,Tdp43
NONMMUG001760.2,Fus
NONMMUG001760.2,RFOX2
NONMMUG001761.2,Fus
NONMMUG001762.2,Fus
NONMMUG001763.2,Upf1
NONMMUG001763.2,Fus
NONMMUG001763.2,Tdp43
NONMMUG001766.3,Upf1
NONMMUG001766.3,Fus
NONMMUG001766.3,Tdp43
NONMMUG001766.3,Celf1
NONMMUG001766.3,DAZL
NONMMUG001766.3,RFOX2
NONMMUG001766.3,PABP1
NONMMUG001766.3,TTP
NONMMUG001766.3,SFPQ
NONMMUG001766.3,AGO4
NONMMUG001766.3,AGO1
NONMMUG001766.3,AGO2
NONMMUG001764.2,Upf1
NONMMUG001764.2,Fus
NONMMUG001764.2,Tdp43
NONMMUG001764.2,Celf1
NONMMUG001765.2,Upf1
NONMMUG001765.2,Fus
NONMMUG001765.2,Celf1
NONMMUG001765.2,Tdp43
