l_ID,p_ID
l00484,p00
l00485,p00
l00485,p30
l00486,p01
l00487,p01
l00487,p02
l00487,p06
l00487,p05
l00488,p02
l00488,p00
l00488,p01
l00488,p06
l00488,p05
l00489,p00
l00489,p01
l00489,p05
l00489,p02
l00490,p02
l00490,p01
l00491,p02
l00491,p01
l00491,p18
l00491,p06
l00492,p01
l00493,p00
l00493,p02
l00494,p03
l00494,p00
l00494,p02
l00494,p01
l00495,p01
l00496,p02
l00497,p02
l00497,p06
l00497,p01
l00497,p05
l00498,p02
l00498,p01
l00499,p01
l00499,p02
l00499,p09
l00500,p02
l00500,p01
l00501,p09
l00501,p02
l00501,p01
l00501,p06
l00502,p00
l00502,p02
l00502,p01
l00503,p00
l00503,p02
l00503,p01
l00504,p01
l00505,p06
l00505,p01
l00505,p02
l00505,p08
l00506,p01
l00507,p01
l00507,p02
l00508,p02
l00509,p01
l00510,p01
l00510,p02
l00511,p02
l00512,p08
l00512,p02
l00512,p01
l00513,p02
l00514,p02
l00515,p02
l00516,p02
l00516,p17
l00516,p15
l00516,p14
l00516,p10
l00516,p01
l00516,p06
l00517,p02
l00517,p01
l00518,p01
l00519,p14
l00519,p11
l00519,p00
l00519,p01
l00519,p17
l00519,p15
l00519,p10
l00519,p08
l00519,p12
l00520,p17
l00520,p15
l00520,p28
l00521,p00
l00522,p01
l00522,p02
l00522,p05
l00522,p00
l00522,p06
l00522,p03
l00523,p01
l00523,p02
l00524,p01
l00525,p01
l00526,p00
l00526,p01
l00527,p00
l00527,p01
l00528,p05
l00528,p01
l00528,p02
l00529,p01
l00529,p02
l00530,p02
l00530,p01
l00531,p00
l00531,p02
l00531,p01
l00531,p05
l00532,p03
l00532,p02
l00532,p01
l00533,p00
l00533,p09
l00534,p02
l00535,p01
l00535,p02
l00536,p03
l00536,p00
l00536,p02
l00536,p05
l00536,p01
l00536,p18
l00537,p02
l00538,p02
l00539,p05
l00539,p02
l00539,p01
l00540,p02
l00541,p00
l00541,p02
l00541,p01
l00542,p00
l00542,p02
l00542,p01
l00542,p05
l00543,p01
l00544,p02
l00544,p01
l00544,p06
l00544,p05
l00544,p00
l00544,p25
l00544,p17
l00544,p15
l00544,p18
l00545,p02
l00545,p01
l00546,p01
l00546,p02
l00547,p01
l00547,p02
l00548,p02
l00548,p01
l00548,p25
l00548,p17
l00548,p15
l00549,p02
l00549,p01
l00549,p25
l00549,p17
l00549,p15
l00550,p02
l00550,p01
l00551,p01
l00551,p02
l00552,p02
l00553,p03
l00553,p00
l00553,p06
l00553,p05
l00553,p01
l00553,p02
l00554,p02
l00555,p00
l00555,p02
l00555,p01
l00555,p06
l00555,p05
l00555,p07
l00555,p18
l00555,p30
l00556,p00
l00556,p06
l00556,p01
l00556,p02
l00557,p00
l00557,p02
l00557,p01
l00558,p02
l00559,p00
l00560,p01
l00560,p02
l00561,p02
l00562,p02
l00563,p02
l00563,p01
l00564,p02
l00564,p06
l00564,p01
l00565,p00
l00565,p01
l00566,p01
l00567,p01
l00568,p02
l00568,p06
l00569,p00
l00569,p01
l00569,p06
l00570,p00
l00570,p01
l00571,p01
l00572,p01
l00573,p01
l00574,p06
l00575,p02
l00575,p01
l00575,p06
l00576,p01
l00576,p02
l00577,p02
l00577,p01
l00578,p04
l00578,p02
l00578,p01
l00578,p06
l00579,p02
l00579,p01
l00580,p02
l00580,p01
l00581,p02
l00581,p01
l00582,p02
l00582,p01
l00583,p02
l00583,p01
l00584,p01
l00584,p02
l00585,p02
l00585,p01
l00586,p02
l00587,p01
l00588,p15
l00588,p14
l00588,p16
l00589,p06
l00589,p02
l00590,p06
l00590,p02
l00591,p02
l00591,p01
l00592,p01
l00592,p02
l00593,p14
l00593,p19
l00593,p28
l00593,p16
l00594,p02
l00594,p01
l00595,p01
l00596,p01
l00596,p02
l00597,p01
l00597,p02
l00598,p03
l00598,p00
l00598,p35
l00598,p02
l00598,p01
l00598,p06
l00599,p03
l00599,p00
l00599,p35
l00599,p02
l00599,p01
l00599,p06
l00600,p02
l00600,p01
l00601,p00
l00602,p02
l00602,p01
l00603,p01
l00603,p02
l00604,p02
l00604,p05
l00604,p06
l00604,p01
l00605,p03
l00605,p00
l00605,p04
l00605,p01
l00605,p02
l00605,p05
l00605,p30
l00605,p06
l00606,p00
l00606,p04
l00606,p02
l00606,p01
l00607,p00
l00607,p04
l00607,p02
l00607,p01
l00608,p02
l00608,p01
l00609,p02
l00609,p01
l00609,p03
l00609,p00
l00609,p35
l00609,p37
l00609,p18
l00609,p05
l00610,p02
l00611,p00
l00611,p05
l00612,p00
l00612,p02
l00613,p01
l00614,p01
l00615,p03
l00615,p00
l00615,p01
l00615,p02
l00615,p05
l00616,p01
l00617,p03
l00617,p00
l00617,p04
l00617,p18
l00617,p02
l00617,p01
l00618,p03
l00618,p00
l00618,p01
l00618,p02
l00619,p00
l00619,p05
l00619,p02
l00619,p01
l00619,p18
l00619,p03
l00619,p06
l00619,p09
l00620,p38
l00620,p01
l00620,p02
l00621,p01
l00621,p02
l00621,p05
l00622,p02
l00623,p01
l00624,p01
l00625,p01
l00626,p00
l00626,p02
l00626,p01
l00626,p05
l00627,p00
l00627,p01
l00627,p02
l00628,p02
l00628,p06
l00629,p02
l00630,p08
l00630,p02
l00630,p06
l00631,p02
l00631,p01
l00631,p05
l00632,p02
l00632,p01
l00633,p02
l00633,p01
l00634,p02
l00634,p05
l00634,p01
l00635,p02
l00636,p02
l00636,p01
l00636,p18
l00636,p05
l00637,p03
l00637,p01
l00637,p02
l00638,p14
l00638,p21
l00638,p10
l00639,p01
l00640,p01
l00641,p03
l00641,p02
l00642,p03
l00642,p02
l00643,p01
l00643,p02
l00643,p06
l00643,p04
l00644,p00
l00644,p02
l00644,p01
l00645,p04
l00645,p02
l00645,p01
l00646,p02
l00646,p01
l00647,p01
l00648,p01
l00648,p02
l00649,p00
l00649,p02
l00649,p01
l00649,p05
l00650,p07
l00650,p02
l00651,p02
l00652,p01
l00652,p02
l00653,p02
l00653,p01
l00654,p01
l00654,p02
l00654,p06
l00655,p01
l00655,p02
l00655,p06
l00656,p00
l00656,p01
l00657,p01
l00657,p02
l00657,p06
l00658,p02
l00658,p06
l00658,p05
l00658,p01
l00658,p00
l00658,p04
l00659,p02
l00659,p01
l00659,p00
l00659,p05
l00659,p04
l00659,p06
l00660,p02
l00660,p01
l00661,p01
l00661,p02
l00662,p02
l00662,p01
l00663,p02
l00663,p01
l00664,p01
l00664,p02
l00665,p01
l00665,p02
l00666,p02
l00666,p01
l00667,p02
l00667,p01
l00667,p05
l00668,p01
l00669,p02
l00669,p01
l00670,p02
l00670,p01
l00671,p02
l00671,p01
l00672,p04
l00672,p02
l00672,p01
l00673,p01
l00673,p02
l00674,p03
l00674,p00
l00674,p01
l00674,p02
l00674,p05
l00674,p06
l00675,p01
l00676,p01
l00677,p01
l00677,p02
l00677,p06
l00678,p03
l00678,p00
l00678,p35
l00678,p07
l00678,p29
l00678,p39
l00678,p04
l00678,p02
l00678,p18
l00678,p06
l00678,p01
l00678,p09
l00678,p13
l00678,p11
l00678,p23
l00678,p21
l00678,p16
l00678,p36
l00678,p33
l00678,p34
l00678,p19
l00678,p27
l00678,p20
l00678,p17
l00678,p15
l00678,p26
l00678,p12
l00678,p14
l00678,p10
l00678,p25
l00678,p28
l00678,p24
l00678,p22
l00678,p31
l00678,p32
l00678,p30
l00679,p07
l00680,p09
l00681,p01
l00681,p02
l00682,p00
l00682,p18
l00682,p06
l00683,p01
l00684,p00
l00684,p02
l00684,p09
l00684,p01
l00684,p05
l00684,p06
l00684,p26
l00685,p02
l00685,p01
l00686,p02
l00686,p01
l00686,p06
l00687,p00
l00687,p02
l00687,p01
l00687,p06
l00687,p26
l00688,p01
l00688,p02
l00689,p01
l00689,p02
l00690,p01
l00690,p02
l00691,p02
l00691,p01
l00692,p02
l00693,p02
l00693,p01
l00694,p02
l00694,p01
l00695,p16
l00695,p19
l00695,p21
l00695,p35
l00695,p01
l00695,p02
l00695,p14
l00695,p27
l00695,p17
l00695,p15
l00696,p02
l00697,p35
l00697,p02
l00697,p21
l00697,p14
l00698,p02
l00699,p01
l00699,p02
l00700,p02
l00700,p01
l00701,p01
l00701,p02
l00701,p14
l00701,p32
l00701,p33
l00701,p34
l00701,p19
l00701,p12
l00702,p01
l00702,p05
l00703,p08
l00703,p01
l00703,p02
l00703,p05
l00704,p00
l00704,p01
l00704,p05
l00704,p02
l00705,p01
l00705,p14
l00706,p14
l00707,p01
l00708,p01
l00708,p02
l00709,p02
l00710,p02
l00710,p01
l00711,p02
l00712,p00
l00712,p05
l00713,p00
l00714,p14
l00715,p17
l00715,p15
l00716,p00
l00716,p01
l00717,p00
l00717,p02
l00717,p01
l00718,p02
l00718,p01
l00718,p00
l00719,p02
l00719,p01
l00720,p01
l00720,p19
l00720,p14
l00720,p17
l00720,p15
l00720,p21
l00720,p25
l00721,p01
l00721,p19
l00721,p14
l00721,p17
l00721,p15
l00721,p21
l00721,p25
l00722,p01
l00723,p06
l00723,p01
l00723,p02
