NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG034269.2,HSALNG0136334,l00491
NONHSAG010307.2,-,l00492
NONHSAG048165.2,HSALNG0059447,l00493
NONHSAG048166.2,HSALNG0059456,l00494
NONHSAG048151.2,HSALNG0059407,l00495
NONHSAG048219.2,-,l00496
NONHSAG048218.2,HSALNG0059584,l00497
NONHSAG048221.2,HSALNG0059591,l00498
NONHSAG025585.3,HSALNG0125630,l00499
NONHSAG025587.2,HSALNG0125635,l00500
NONHSAG025632.3,HSALNG0125703,l00501
NONHSAG025630.2,-,l00502
NONHSAG021967.3,HSALNG0116822,l00503
NONHSAG048153.2,HSALNG0059407,l00504
NONHSAG019101.3,HSALNG0110746,l00505
NONHSAG019106.3,HSALNG0110754,l00506
NONHSAG048156.2,HSALNG0059429,l00507
NONHSAG025600.2,HSALNG0125657,l00508
NONHSAG025604.2,HSALNG0125657,l00509
NONHSAG025613.2,-,l00510
NONHSAG022161.3,HSALNG0117256,l00511
NONHSAG048239.3,HSALNG0059658,l00512
NONHSAG048254.3,HSALNG0059694,l00513
NONHSAG096490.2,HSALNG0059558,l00514
NONHSAG048173.3,HSALNG0059467,l00515
NONHSAG048572.2,HSALNG0060612,l00516
NONHSAG048621.2,HSALNG0060788,l00517
NONHSAG048524.3,HSALNG0060448,l00518
NONHSAG033352.2,HSALNG0134198,l00519
NONHSAG033354.2,HSALNG0134200,l00520
NONHSAG047082.3,HSALNG0056607,l00521
NONHSAG047082.3,HSALNG0056603,l00522
NONHSAG047063.2,-,l00523
NONHSAG025577.2,HSALNG0125611,l00524
NONHSAG025579.3,HSALNG0125611,l00525
NONHSAG019180.2,HSALNG0110905,l00526
NONHSAG019178.2,HSALNG0110903,l00527
NONHSAG073827.1,HSALNG0118445,l00528
NONHSAG048613.2,-,l00529
NONHSAG018796.2,HSALNG0110020,l00530
-,HSALNG0110001,l00531
NONHSAG026668.3,HSALNG0127848,l00532
NONHSAG018649.3,HSALNG0109671,l00533
NONHSAG022628.3,HSALNG0118439,l00534
NONHSAG097663.2,HSALNG0056376,l00535
NONHSAG048559.2,HSALNG0060578,l00536
NONHSAG048561.2,-,l00537
NONHSAG048631.3,HSALNG0060808,l00538
NONHSAG048551.3,HSALNG0060516,l00539
NONHSAG096994.1,HSALNG0056763,l00540
NONHSAG098105.2,HSALNG0059602,l00541
NONHSAG021921.3,HSALNG0116718,l00542
NONHSAG021818.3,HSALNG0116502,l00543
NONHSAG020864.2,HSALNG0114645,l00544
NONHSAG022057.3,HSALNG0117045,l00545
NONHSAG026676.2,HSALNG0127869,l00546
NONHSAG021773.2,HSALNG0116429,l00547
NONHSAG025288.2,HSALNG0124941,l00548
NONHSAG048111.2,HSALNG0059305,l00549
NONHSAG113726.1,HSALNG0056457,l00550
NONHSAG096166.2,HSALNG0056452,l00551
NONHSAG048080.2,HSALNG0059193,l00552
NONHSAG048146.3,HSALNG0059407,l00553
NONHSAG097740.2,HSALNG0056885,l00554
NONHSAG048540.2,HSALNG0060499,l00555
NONHSAG048541.2,HSALNG0060499,l00556
NONHSAG033205.2,-,l00557
NONHSAG033211.3,HSALNG0147355,l00558
NONHSAG041529.2,HSALNG0044864,l00559
NONHSAG038551.2,HSALNG0036153,l00560
NONHSAG034063.2,HSALNG0135725,l00561
NONHSAG038429.2,HSALNG0035816,l00562
NONHSAG038679.2,-,l00563
NONHSAG038640.2,-,l00564
NONHSAG038559.3,HSALNG0036164,l00565
NONHSAG006723.2,HSALNG0080208,l00566
NONHSAG054771.2,-,l00567
NONHSAG026667.2,HSALNG0127843,l00568
NONHSAG047182.2,HSALNG0056854,l00569
NONHSAG048564.2,HSALNG0060590,l00570
NONHSAG018911.2,HSALNG0110286,l00571
NONHSAG096206.2,HSALNG0056734,l00572
NONHSAG020635.2,HSALNG0114128,l00573
NONHSAG024305.3,HSALNG0122911,l00574
NONHSAG072707.2,HSALNG0112544,l00575
NONHSAG046946.3,HSALNG0056176,l00576
NONHSAG021530.3,-,l00577
NONHSAG021764.3,HSALNG0116403,l00578
NONHSAG041532.2,HSALNG0044869,l00579
NONHSAG018819.2,HSALNG0110072,l00580
NONHSAG055348.2,HSALNG0140229,l00581
NONHSAG054805.2,-,l00582
NONHSAG007646.2,HSALNG0082656,l00583
NONHSAG024432.2,-,l00584
NONHSAG021111.2,HSALNG0115126,l00585
NONHSAG021113.2,HSALNG0115127,l00586
NONHSAG109243.1,HSALNG0122905,l00587
NONHSAG033266.3,HSALNG0134004,l00588
NONHSAG096200.2,HSALNG0056688,l00589
NONHSAG024327.2,HSALNG0122958,l00590
NONHSAG046940.2,HSALNG0056136,l00591
NONHSAG047167.3,HSALNG0056812,l00592
NONHSAG047169.3,HSALNG0056816,l00593
NONHSAG047049.2,HSALNG0056465,l00594
NONHSAG047214.3,HSALNG0056903,l00595
NONHSAG097020.1,HSALNG0056996,l00596
NONHSAG047448.2,HSALNG0057551,l00597
NONHSAG047001.2,HSALNG0056351,l00598
NONHSAG033673.3,-,l00599
NONHSAG046798.3,HSALNG0055709,l00600
NONHSAG048082.2,HSALNG0059193,l00601
NONHSAG047537.2,HSALNG0057803,l00602
NONHSAG048302.2,HSALNG0059854,l00603
NONHSAG048302.2,-,l00604
NONHSAG046870.3,HSALNG0055943,l00605
